iter	Passed	Remaining
0	151	151077
1	152	76303
2	153	51149
3	154	38582
4	155	31009
5	156	25967
6	157	22351
7	158	19645
8	159	17536
9	160	15847
10	160	14455
11	161	13318
12	162	12337
13	163	11506
14	164	10786
15	165	10151
16	165	9586
17	166	9105
18	167	8668
19	168	8268
20	169	7906
21	170	7576
22	171	7271
23	172	6999
24	173	6747
25	173	6508
26	174	6290
27	175	6091
28	176	5900
29	176	5721
30	177	5557
31	178	5400
32	179	5258
33	180	5123
34	181	5001
35	182	4882
36	183	4773
37	184	4663
38	185	4567
39	186	4472
40	187	4381
41	188	4296
42	189	4214
43	190	4140
44	191	4062
45	192	3988
46	193	3917
47	193	3846
48	195	3786
49	195	3720
50	196	3659
51	197	3598
52	198	3540
53	199	3487
54	199	3433
55	200	3385
56	201	3334
57	202	3289
58	203	3241
59	204	3201
60	205	3156
61	205	3115
62	206	3075
63	207	3037
64	208	2999
65	209	2962
66	210	2927
67	211	2892
68	211	2859
69	212	2823
70	213	2794
71	214	2761
72	215	2735
73	216	2704
74	216	2675
75	217	2646
76	218	2617
77	219	2590
78	220	2565
79	220	2538
80	221	2516
81	222	2491
82	223	2464
83	223	2441
84	224	2417
85	225	2395
86	226	2372
87	227	2353
88	227	2330
89	228	2312
90	229	2291
91	230	2272
92	231	2254
93	231	2234
94	232	2217
95	233	2198
96	234	2181
97	234	2162
98	235	2145
99	236	2128
100	237	2112
101	238	2097
102	239	2082
103	240	2068
104	240	2051
105	241	2038
106	242	2023
107	243	2008
108	244	1995
109	244	1981
110	245	1968
111	246	1955
112	247	1942
113	248	1930
114	249	1918
115	250	1906
116	250	1892
117	251	1882
118	252	1870
119	253	1859
120	254	1846
121	255	1835
122	255	1823
123	256	1812
124	257	1802
125	258	1791
126	258	1779
127	259	1769
128	260	1759
129	261	1750
130	262	1740
131	263	1732
132	264	1722
133	265	1713
134	265	1704
135	266	1696
136	267	1686
137	268	1677
138	269	1668
139	270	1660
140	271	1651
141	271	1641
142	272	1632
143	273	1624
144	274	1615
145	274	1607
146	275	1599
147	276	1591
148	277	1583
149	278	1576
150	279	1569
151	280	1562
152	280	1554
153	281	1547
154	282	1540
155	283	1532
156	284	1526
157	285	1519
158	285	1511
159	286	1506
160	287	1497
161	288	1491
162	289	1484
163	289	1477
164	290	1470
165	291	1464
166	292	1457
167	293	1451
168	294	1446
169	294	1440
170	295	1434
171	296	1428
172	297	1423
173	298	1416
174	299	1410
175	300	1405
176	300	1399
177	301	1394
178	302	1388
179	303	1382
180	304	1377
181	305	1371
182	306	1366
183	306	1361
184	307	1355
185	308	1350
186	309	1345
187	310	1340
188	311	1334
189	311	1329
190	312	1324
191	313	1319
192	314	1315
193	315	1310
194	316	1304
195	316	1300
196	317	1295
197	318	1290
198	319	1286
199	320	1281
200	321	1277
201	322	1273
202	323	1268
203	323	1263
204	324	1259
205	325	1254
206	326	1250
207	327	1246
208	328	1241
209	329	1238
210	329	1233
211	330	1229
212	331	1225
213	332	1220
214	333	1217
215	334	1213
216	335	1209
217	336	1207
218	337	1203
219	338	1199
220	339	1195
221	339	1191
222	340	1187
223	341	1183
224	342	1179
225	343	1176
226	344	1171
227	345	1168
228	345	1164
229	346	1161
230	347	1157
231	348	1153
232	349	1149
233	350	1146
234	350	1142
235	351	1138
236	352	1135
237	353	1131
238	354	1128
239	354	1124
240	356	1121
241	356	1118
242	357	1114
243	358	1110
244	359	1107
245	360	1103
246	361	1100
247	361	1097
248	362	1093
249	363	1090
250	364	1087
251	365	1084
252	366	1081
253	367	1078
254	367	1074
255	368	1071
256	369	1068
257	370	1065
258	371	1061
259	372	1059
260	372	1055
261	373	1052
262	374	1049
263	375	1046
264	376	1043
265	376	1040
266	377	1037
267	378	1034
268	379	1031
269	380	1028
270	381	1025
271	381	1022
272	383	1020
273	383	1016
274	384	1013
275	385	1010
276	386	1008
277	387	1005
278	388	1002
279	388	1000
280	389	997
281	390	994
282	391	991
283	392	988
284	393	986
285	394	983
286	394	981
287	395	978
288	396	976
289	397	973
290	398	971
291	399	968
292	400	966
293	401	963
294	402	961
295	403	958
296	403	955
297	404	953
298	405	950
299	406	948
300	407	946
301	408	943
302	409	941
303	410	938
304	410	936
305	411	934
306	412	931
307	413	929
308	414	926
309	415	924
310	416	922
311	416	919
312	417	916
313	418	914
314	419	911
315	420	909
316	421	907
317	421	904
318	422	902
319	423	900
320	424	898
321	425	895
322	426	893
323	426	890
324	427	888
325	428	886
326	429	883
327	430	881
328	431	879
329	432	877
330	432	874
331	433	872
332	434	870
333	435	868
334	436	866
335	437	864
336	438	862
337	439	860
338	440	858
339	441	856
340	442	854
341	442	852
342	443	850
343	444	847
344	445	846
345	446	843
346	447	841
347	448	839
348	449	837
349	449	835
350	450	833
351	451	831
352	452	829
353	453	827
354	454	825
355	455	823
356	456	821
357	457	819
358	458	817
359	458	815
360	459	813
361	460	812
362	461	809
363	462	808
364	463	806
365	464	803
366	465	802
367	465	800
368	466	798
369	467	796
370	468	794
371	469	792
372	470	790
373	471	788
374	471	786
375	472	784
376	473	782
377	474	780
378	475	778
379	476	776
380	477	775
381	478	773
382	478	771
383	479	769
384	480	767
385	481	765
386	482	763
387	483	762
388	484	760
389	485	758
390	485	756
391	486	755
392	487	753
393	488	752
394	489	750
395	490	748
396	491	746
397	492	745
398	493	743
399	494	742
400	495	740
401	496	738
402	497	737
403	498	735
404	499	733
405	500	732
406	501	730
407	502	728
408	503	727
409	504	725
410	505	724
411	506	722
412	507	721
413	508	720
414	509	718
415	510	717
416	511	715
417	512	713
418	513	711
419	514	710
420	515	708
421	515	706
422	516	704
423	517	703
424	518	701
425	519	700
426	520	698
427	521	697
428	522	695
429	523	693
430	524	692
431	525	690
432	526	688
433	526	687
434	528	685
435	528	684
436	529	682
437	530	680
438	531	679
439	532	677
440	533	675
441	534	674
442	535	672
443	535	671
444	536	669
445	537	667
446	538	666
447	539	664
448	540	663
449	541	661
450	542	660
451	543	658
452	544	657
453	545	655
454	546	654
455	547	652
456	548	651
457	549	650
458	550	648
459	550	646
460	551	645
461	552	643
462	553	642
463	554	640
464	555	639
465	556	637
466	557	636
467	558	635
468	559	633
469	560	632
470	561	630
471	562	629
472	563	628
473	564	626
474	565	625
475	566	623
476	567	622
477	568	620
478	569	619
479	570	617
480	571	616
481	572	614
482	573	613
483	574	612
484	574	610
485	575	609
486	577	607
487	577	606
488	579	605
489	580	604
490	581	602
491	582	601
492	583	600
493	584	598
494	585	597
495	586	595
496	587	594
497	588	592
498	589	591
499	590	590
500	591	588
501	592	587
502	593	586
503	594	585
504	595	583
505	596	582
506	597	580
507	598	579
508	599	577
509	599	576
510	600	575
511	601	573
512	602	572
513	603	570
514	604	569
515	605	568
516	606	566
517	607	565
518	608	563
519	609	562
520	610	561
521	611	559
522	612	558
523	613	556
524	614	555
525	615	554
526	616	553
527	617	551
528	618	550
529	619	549
530	619	547
531	621	546
532	622	545
533	622	543
534	623	542
535	624	540
536	625	539
537	626	538
538	628	537
539	629	535
540	630	534
541	631	533
542	632	531
543	633	530
544	634	529
545	635	528
546	636	526
547	637	525
548	638	524
549	639	522
550	640	521
551	640	520
552	641	518
553	642	517
554	643	516
555	644	514
556	645	513
557	646	512
558	647	510
559	648	509
560	649	508
561	650	507
562	651	505
563	652	504
564	653	503
565	654	501
566	655	500
567	656	499
568	657	497
569	658	496
570	659	495
571	660	493
572	661	492
573	662	491
574	663	490
575	664	488
576	665	487
577	666	486
578	667	485
579	668	483
580	669	482
581	670	481
582	671	480
583	672	478
584	673	477
585	674	476
586	674	474
587	675	473
588	676	472
589	678	471
590	679	470
591	680	468
592	681	467
593	682	466
594	683	465
595	683	463
596	685	462
597	685	461
598	687	459
599	688	458
600	689	457
601	690	456
602	691	455
603	692	453
604	693	452
605	694	451
606	695	450
607	696	448
608	697	447
609	698	446
610	699	445
611	700	443
612	701	442
613	702	441
614	702	440
615	704	439
616	705	437
617	706	436
618	707	435
619	708	434
620	709	433
621	710	431
622	711	430
623	712	429
624	713	428
625	714	426
626	715	425
627	716	424
628	717	423
629	718	421
630	719	420
631	720	419
632	721	418
633	722	417
634	723	415
635	724	414
636	725	413
637	726	412
638	726	410
639	727	409
640	728	408
641	729	406
642	730	405
643	731	404
644	732	403
645	733	401
646	734	400
647	735	399
648	736	398
649	737	397
650	738	395
651	739	394
652	740	393
653	740	391
654	741	390
655	742	389
656	743	388
657	744	386
658	745	385
659	746	384
660	747	383
661	748	382
662	749	381
663	750	379
664	751	378
665	752	377
666	753	376
667	754	374
668	754	373
669	755	372
670	756	371
671	757	369
672	758	368
673	759	367
674	760	366
675	761	364
676	762	363
677	763	362
678	764	361
679	765	360
680	766	358
681	767	357
682	768	356
683	769	355
684	770	354
685	771	352
686	772	351
687	773	350
688	774	349
689	775	348
690	777	347
691	778	346
692	779	345
693	780	343
694	781	342
695	782	341
696	782	340
697	783	339
698	784	337
699	785	336
700	786	335
701	787	334
702	788	333
703	789	332
704	791	331
705	792	329
706	793	328
707	794	327
708	795	326
709	795	325
710	796	323
711	797	322
712	798	321
713	799	320
714	800	319
715	801	318
716	802	316
717	803	315
718	804	314
719	805	313
720	806	312
721	807	310
722	808	309
723	809	308
724	809	307
725	810	306
726	811	304
727	812	303
728	813	302
729	814	301
730	815	300
731	816	298
732	817	297
733	819	296
734	820	295
735	822	294
736	823	293
737	824	292
738	825	291
739	826	290
740	826	289
741	827	287
742	828	286
743	829	285
744	830	284
745	831	283
746	832	282
747	833	280
748	834	279
749	835	278
750	836	277
751	837	276
752	838	274
753	839	273
754	839	272
755	840	271
756	841	270
757	842	268
758	843	267
759	844	266
760	844	265
761	845	264
762	846	263
763	847	261
764	848	260
765	849	259
766	850	258
767	851	257
768	852	256
769	853	254
770	853	253
771	854	252
772	855	251
773	856	250
774	857	248
775	858	247
776	859	246
777	859	245
778	860	244
779	861	243
780	862	241
781	863	240
782	864	239
783	865	238
784	866	237
785	867	236
786	868	234
787	868	233
788	869	232
789	870	231
790	871	230
791	872	229
792	873	228
793	874	226
794	875	225
795	876	224
796	877	223
797	878	222
798	879	221
799	880	220
800	880	218
801	881	217
802	882	216
803	883	215
804	884	214
805	885	213
806	886	212
807	887	210
808	888	209
809	889	208
810	890	207
811	891	206
812	892	205
813	893	204
814	894	202
815	895	201
816	895	200
817	896	199
818	897	198
819	898	197
820	899	196
821	900	195
822	901	193
823	902	192
824	903	191
825	904	190
826	905	189
827	906	188
828	907	187
829	908	185
830	909	184
831	909	183
832	911	182
833	912	181
834	913	180
835	914	179
836	915	178
837	916	177
838	917	176
839	918	174
840	918	173
841	919	172
842	920	171
843	921	170
844	922	169
845	923	168
846	923	166
847	925	165
848	925	164
849	926	163
850	927	162
851	928	161
852	929	160
853	930	159
854	931	157
855	932	156
856	933	155
857	934	154
858	935	153
859	935	152
860	936	151
861	937	150
862	938	148
863	939	147
864	940	146
865	941	145
866	941	144
867	942	143
868	943	142
869	944	141
870	945	140
871	946	138
872	947	137
873	948	136
874	948	135
875	949	134
876	950	133
877	951	132
878	952	131
879	953	130
880	954	128
881	955	127
882	956	126
883	957	125
884	958	124
885	959	123
886	960	122
887	961	121
888	962	120
889	963	119
890	964	117
891	965	116
892	966	115
893	966	114
894	967	113
895	968	112
896	969	111
897	970	110
898	971	109
899	972	108
900	973	106
901	974	105
902	975	104
903	976	103
904	977	102
905	977	101
906	978	100
907	979	99
908	980	98
909	981	97
910	982	95
911	983	94
912	984	93
913	985	92
914	986	91
915	987	90
916	988	89
917	989	88
918	990	87
919	991	86
920	991	85
921	992	84
922	993	82
923	994	81
924	995	80
925	996	79
926	997	78
927	998	77
928	999	76
929	1000	75
930	1001	74
931	1002	73
932	1003	72
933	1004	70
934	1005	69
935	1006	68
936	1006	67
937	1007	66
938	1008	65
939	1009	64
940	1010	63
941	1011	62
942	1012	61
943	1013	60
944	1014	59
945	1015	57
946	1016	56
947	1017	55
948	1017	54
949	1018	53
950	1019	52
951	1020	51
952	1021	50
953	1022	49
954	1023	48
955	1024	47
956	1025	46
957	1026	44
958	1027	43
959	1028	42
960	1029	41
961	1030	40
962	1031	39
963	1032	38
964	1033	37
965	1034	36
966	1035	35
967	1036	34
968	1036	33
969	1037	32
970	1038	31
971	1040	29
972	1040	28
973	1042	27
974	1043	26
975	1044	25
976	1045	24
977	1046	23
978	1047	22
979	1048	21
980	1049	20
981	1049	19
982	1050	18
983	1051	17
984	1052	16
985	1053	14
986	1054	13
987	1055	12
988	1056	11
989	1057	10
990	1058	9
991	1059	8
992	1060	7
993	1061	6
994	1062	5
995	1063	4
996	1064	3
997	1065	2
998	1066	1
999	1067	0
